N,m,t_encode,t_round0,t_round1,t_round2,t_round3,t_decode,t_total,bytes_round0,bytes_round1,bytes_round2,bytes_round3,bytes_total,bytes_vanilla,comm_expansion
2,9814.0,7.587502477690578e-05,0.00023079098900780082,0.000630166003247723,0.0007440409972332418,0.0006133330170996487,5.050000618211925e-05,0.0022727080213371664,728.0,704.0,157024.0,200.0,158656.0,78512.0,2.0207866313429794
5,9814.0,0.00017291700351051986,0.00044837500900030136,0.004324083012761548,0.003220666985725984,0.0034015830024145544,3.558301250450313e-05,0.01162245700834319,4550.0,7040.0,392560.0,2000.0,406150.0,196280.0,2.0692378235174242
10,9814.0,0.0003005419857800007,0.0007589579909108579,0.018821042001945898,0.013183749979361892,0.054080250003607944,4.741700831800699e-05,0.08674649996100925,18200.0,31680.0,785120.0,9000.0,844000.0,392560.0,2.149989810474832
20,9814.0,0.0005710840050596744,0.001410541997756809,0.0764909170102328,0.05292095901677385,0.20131933302036487,3.8084021070972085e-05,0.3330120840400923,72800.0,133760.0,1570240.0,38000.0,1814800.0,785120.0,2.3114937843896475
50,9814.0,0.0015349999885074794,0.0035534999915398657,0.5125822499976493,0.3331123330281116,1.270483125001192,4.7209003241732717e-05,2.121313417010242,455000.0,862400.0,3925600.0,245000.0,5488000.0,1962800.0,2.796005706134094
