trial,true_label,recovered_label,label_correct,final_attack_loss,converged,psnr_db,ssim,mse
0,8,2,False,0.00830935314297676,False,15.332099798490583,0.00536622206798275,3135728384.0
1,7,6,False,244.822998046875,False,17.30744208857979,,1.6357175303702047e+25
2,1,5,False,0.10789282619953156,False,16.59101594919575,0.01553500818318595,7.235451698303223
3,6,3,False,0.21110709011554718,False,15.212244098934796,0.009260951020102996,3.3774397373199463
4,0,3,False,9.694437903817743e-05,True,16.246667953324604,0.018324611136769125,201.71444702148438
