round,train_loss,test_loss,test_acc,method
1,2.0722234844843546,1.1725562145233155,0.7355,plain
2,0.7920234925905862,0.5530285263061523,0.8526,plain
3,0.5156670529842377,0.43307437191009523,0.8809,plain
4,0.4264085549871127,0.376980207157135,0.8934,plain
5,0.37934680763880413,0.3414032211780548,0.9002,plain
6,0.34828329881032305,0.3145087781906128,0.911,plain
7,0.32579065793355305,0.29508002195358274,0.9172,plain
8,0.30797513182560604,0.2798495699882507,0.9188,plain
9,0.2934317163825035,0.26744704892635346,0.9226,plain
10,0.28102073117494586,0.25486208748817446,0.9269,plain
11,0.2702769196093082,0.24524234375953674,0.9278,plain
12,0.2604117378950119,0.23691974763870238,0.9311,plain
13,0.25190626453359916,0.22835388503074647,0.9332,plain
14,0.2437315845022599,0.22182582066059112,0.9343,plain
15,0.236429144324859,0.215640856051445,0.9366,plain
16,0.22947247397502263,0.20764546663761138,0.9387,plain
17,0.22288856082061925,0.2032706848859787,0.9392,plain
18,0.21673656478722889,0.19693533900976182,0.9419,plain
19,0.21095421898464362,0.19173453071117402,0.9434,plain
20,0.20551760740478833,0.18784790493249892,0.9447,plain
21,0.2005744782646497,0.18242726970911027,0.9464,plain
22,0.19552822457055252,0.17822923908233643,0.9479,plain
23,0.19052201854586603,0.1736298798084259,0.9481,plain
24,0.1861758487443129,0.16814110397100449,0.9502,plain
25,0.18201844671567283,0.16622773821353912,0.9518,plain
26,0.17798952347238858,0.1612924389600754,0.9518,plain
27,0.1740771844699979,0.15701745371818543,0.9536,plain
28,0.17037468196551003,0.1547571900129318,0.9544,plain
29,0.1668479013517499,0.15142786536216735,0.9552,plain
30,0.16350190545022486,0.14785855592489242,0.9564,plain
1,2.0722234844843546,1.1725540407180786,0.7355,secure
2,0.7920229490439097,0.5530278817176819,0.8526,secure
3,0.5156669506788254,0.4330741500377655,0.8809,secure
4,0.42640852483510977,0.37698054699897765,0.8934,secure
5,0.37934684518575673,0.34140364818573,0.9002,secure
6,0.3482834309776624,0.31450873613357544,0.911,secure
7,0.32579085485537845,0.2950801980495453,0.9172,secure
8,0.3079753108541171,0.27984989562034607,0.9188,secure
9,0.2934319617748261,0.26744722683429717,0.9226,secure
10,0.28102101359963416,0.2548621714115143,0.9269,secure
11,0.2702771752456824,0.24524229624271393,0.9278,secure
12,0.2604119088570277,0.23691994359493257,0.9311,secure
13,0.2519064455052217,0.22835413212776184,0.9332,secure
14,0.24373181581497189,0.2218258211374283,0.9343,secure
15,0.236429312646389,0.21564120378494261,0.9366,secure
16,0.2294726730744044,0.2076455132484436,0.9387,secure
17,0.22288867486119268,0.20327042856216432,0.9392,secure
18,0.2167366305092971,0.19693526453971863,0.9419,secure
19,0.21095428446133932,0.19173435790538787,0.9435,secure
20,0.2055176928361257,0.18784828882217408,0.9447,secure
21,0.20057450517316658,0.18242734761238097,0.9464,secure
22,0.19552819864650567,0.17822933316230774,0.9479,secure
23,0.19052201833824317,0.17363002655506135,0.9481,secure
24,0.18617583248416586,0.16814115822315215,0.9502,secure
25,0.1820184101551771,0.1662276123523712,0.9518,secure
26,0.17798947194119294,0.16129269406795502,0.9518,secure
27,0.17407711427708467,0.15701726837158203,0.9536,secure
28,0.17037460911522312,0.1547569806933403,0.9544,secure
29,0.166847825670739,0.15142782481908798,0.9552,secure
30,0.16350180156826974,0.14785863606929778,0.9564,secure
